Eb/N0 (dB),FER(SCL-8),BER(SCL-8),Trials
0.0,7.818e-01,1.222e-02,330
0.5,6.253e-01,9.770e-03,411
1.0,4.446e-01,6.947e-03,578
1.5,2.416e-01,3.775e-03,1039
2.0,1.016e-01,1.588e-03,2489
2.5,3.321e-02,5.188e-04,7559
3.0,7.986e-03,1.248e-04,31305
3.5,1.423e-03,2.223e-05,175721
4.0,1.594e-04,2.491e-06,1568316
